bedrooms,bathrooms,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,price(k),sqft_lot(k),sqft_living(k)
3,1.0,1.0,0,0,3,7,1180,0,1955,0,98178,47.5112,-122.257,221.9,5.6,1.2
3,2.25,2.0,0,0,3,7,2170,400,1951,1991,98125,47.721,-122.319,538.0,7.2,2.6
2,1.0,1.0,0,0,3,6,770,0,1933,0,98028,47.7379,-122.233,180.0,10.0,0.8
4,3.0,1.0,0,0,5,7,1050,910,1965,0,98136,47.5208,-122.393,604.0,5.0,2.0
3,2.0,1.0,0,0,3,8,1680,0,1987,0,98074,47.6168,-122.045,510.0,8.1,1.7
4,4.5,1.0,0,0,3,11,3890,1530,2001,0,98053,47.6561,-122.005,1225.0,101.9,5.4
3,2.25,2.0,0,0,3,7,1715,0,1995,0,98003,47.3097,-122.327,257.5,6.8,1.7
3,1.5,1.0,0,0,3,7,1060,0,1963,0,98198,47.4095,-122.315,291.8,9.7,1.1
3,1.0,1.0,0,0,3,7,1050,730,1960,0,98146,47.5123,-122.337,229.5,7.5,1.8
3,2.5,2.0,0,0,3,7,1890,0,2003,0,98038,47.3684,-122.031,323.0,6.6,1.9
3,2.5,1.0,0,0,3,8,1860,1700,1965,0,98007,47.6007,-122.145,662.5,9.8,3.6
2,1.0,1.0,0,0,4,7,860,300,1942,0,98115,47.69,-122.292,468.0,6.0,1.2
3,1.0,1.5,0,0,4,7,1430,0,1927,0,98028,47.7558,-122.229,310.0,19.9,1.4
3,1.75,1.0,0,0,4,7,1370,0,1977,0,98074,47.6127,-122.045,400.0,9.7,1.4
5,2.0,1.5,0,0,3,7,1810,0,1900,0,98107,47.67,-122.394,530.0,4.8,1.8
4,3.0,2.0,0,3,3,9,1980,970,1979,0,98126,47.5714,-122.375,650.0,5.0,3.0
3,2.0,2.0,0,0,3,7,1890,0,1994,0,98019,47.7277,-121.962,395.0,14.0,1.9
4,1.0,1.5,0,0,4,7,1600,0,1916,0,98103,47.6648,-122.343,485.0,4.3,1.6
2,1.0,1.0,0,0,4,7,1200,0,1921,0,98002,47.3089,-122.21,189.0,9.8,1.2
3,1.0,1.0,0,0,4,7,1250,0,1969,0,98003,47.3343,-122.306,230.0,9.8,1.2
4,1.75,1.0,0,0,4,7,860,760,1947,0,98133,47.7025,-122.341,385.0,5.0,1.6
3,2.75,1.0,0,4,3,9,2330,720,1968,0,98040,47.5316,-122.233,2000.0,44.9,3.0
5,2.5,2.0,0,0,3,8,2270,0,1995,0,98092,47.3266,-122.169,285.0,6.3,2.3
2,1.5,1.0,0,0,3,7,1070,0,1985,0,98030,47.3533,-122.166,252.7,9.6,1.1
3,2.25,2.0,0,0,4,8,2450,0,1985,0,98030,47.3739,-122.172,329.0,6.5,2.4
3,2.0,1.5,0,0,5,6,1710,0,1941,0,98002,47.3048,-122.218,233.0,4.7,1.7
3,1.75,2.0,0,0,3,8,1750,700,1915,0,98119,47.6386,-122.36,937.0,2.7,2.4
3,1.0,1.5,0,0,5,8,1400,0,1909,0,98112,47.6221,-122.314,667.0,1.6,1.4
3,1.75,1.0,0,0,3,7,790,730,1948,0,98115,47.695,-122.304,438.0,6.4,1.5
4,2.5,2.0,0,0,3,8,2570,0,2005,0,98052,47.7073,-122.11,719.0,7.2,2.6
3,2.5,2.0,0,0,3,8,2320,0,2003,0,98027,47.5391,-122.07,580.5,4.0,2.3
2,1.5,3.0,0,0,3,7,1190,0,2005,0,98133,47.7274,-122.357,280.0,1.3,1.2
4,1.75,1.5,0,0,4,7,1510,820,1929,0,98117,47.6823,-122.368,687.5,5.0,2.3
3,1.0,1.5,0,0,4,8,1090,0,1929,0,98117,47.6889,-122.375,535.0,3.0,1.1
4,2.75,1.0,0,0,3,7,1280,780,1981,0,98058,47.4276,-122.157,322.5,6.7,2.1
3,2.5,1.5,0,0,3,8,1510,790,1930,2002,98115,47.6827,-122.31,696.0,3.1,2.3
4,1.0,1.0,0,0,1,5,930,730,1933,0,98052,47.6621,-122.132,550.0,34.8,1.7
4,2.0,2.0,0,0,4,8,2360,0,1904,0,98107,47.6702,-122.362,640.0,6.0,2.4
4,1.0,1.0,0,0,2,7,890,330,1969,0,98001,47.3341,-122.282,240.0,8.1,1.2
4,2.5,2.0,0,0,3,8,2620,0,1996,0,98056,47.5301,-122.18,605.0,7.6,2.6
4,2.5,2.0,0,0,3,9,2570,0,2000,0,98074,47.6145,-122.027,625.0,5.5,2.6
4,2.25,1.0,0,0,3,8,2600,1620,1984,0,98166,47.445,-122.347,775.0,24.2,4.2
5,2.75,2.0,0,0,3,9,3595,0,2014,0,98053,47.6848,-122.016,862.0,5.6,3.6
3,1.0,2.0,0,0,3,7,1570,0,1922,0,98119,47.6413,-122.364,685.0,2.3,1.6
3,1.0,1.0,0,0,4,6,920,360,1959,0,98058,47.4485,-122.175,309.0,9.7,1.3
3,2.5,2.0,0,0,3,8,3160,0,2003,0,98019,47.7443,-121.977,488.0,13.6,3.2
3,1.0,1.0,0,0,3,6,990,0,1966,0,98023,47.3066,-122.371,210.5,8.5,1.0
4,2.5,2.0,0,0,4,9,2290,0,1981,0,98007,47.6194,-122.151,785.0,13.4,2.3
3,1.75,1.0,0,0,4,7,1250,0,1953,0,98115,47.6796,-122.301,450.0,6.0,1.2
3,2.5,1.0,1,2,5,9,2165,588,1953,0,98070,47.4041,-122.451,1350.0,65.0,2.8
